is_kolu,isim,osm_id
restoran,McDonald's,292544398
restoran,Salih Pastanesi,854589932
restoran,İstanbul Halk Ekmek,882137733
restoran,Damak Special,899145777
restoran,Pidem,909573848
restoran,Lider Kokoreç,909577196
restoran,Marmara 3 Döner&Kumru,913571125
restoran,Seren Pastanesi,913576901
restoran,Simitçi,963275552
restoran,Check Up Döner,1045078849
restoran,Gelik,1148604452
restoran,Azcı,1586627847
restoran,Koska,1695088666
restoran,Gelik ET Ataköy Istanbul,1741174687
restoran,Midpoint,1785651799
restoran,WestMix,1874213314
restoran,BigChefs,1934747999
restoran,Hazal Esen Bahçe ,2277119144
restoran,Saraykapı Sac Tava,2277552851
restoran,Enbey Döner,2277633074
restoran,Çiftlik Restoran,2281078172
restoran,S.O.S Pizza,2282049620
restoran,Burger King,2282170234
restoran,Hasırlı Konya Mutfağı,2282170634
restoran,Hacı Sayid Baklava Pasta Restaurant,2282192676
restoran,Mis Döner,2282193580
restoran,Nostalji Döner,2282193628
restoran,Urfa Ziyafet Sofrası,2282193770
restoran,Köfteci Ramiz,2282194146
restoran,HD İskender,2282194184
restoran,Edirne Kırkpınar Lokantası,2282194268
restoran,Sbarro,2282198501
restoran,Köşebaşı,2282200937
restoran,Osmanlı Kebap,2282205441
restoran,Little Caesars,2282207970
restoran,Cigeristan,2460942679
restoran,Mola Ev Yemekleri,2482903872
restoran,Yaprak Tantuni,2661346357
restoran,Köz Kebap,2661350455
restoran,Adanalı,2661389120
restoran,Giorgi,2894123844
restoran,Can-u Can,2904303803
restoran,Labella Premium Topkapı,2969581337
restoran,İskenderun Kral Dürüm,3127704555
restoran,Gümüş Kanat,3127704557
restoran,Domino's,3127704563
restoran,Paşa Döner,3127745598
restoran,Kale Restaurant,3128904661
restoran,Pizza Bulls Haznedar,3131016408
restoran,Dürüm Durak,3132626162
restoran,Güvenç Konyalı,3132679959
restoran,N10 Rest.,3191142998
restoran,Anas Chicken,3281268897
restoran,Neco Döner,3281268898
restoran,Warung Nusantara,3460024716
restoran,Son Osmanli Restaurant,3499249055
restoran,Figaro's,3625630699
restoran,Salve,3625630700
restoran,Subway,3625637825
restoran,Akdeniz Hatay Sofrasi,3658729750
restoran,Öz Suruç,3709002233
restoran,Lezzet Lokantası,3820674190
restoran,Tihame Köfte,3820674192
restoran,Kehribar,3921034348
restoran,Balkon,3968165742
restoran,Kanatçı Birtat,4104860751
restoran,Öz Konyali,4114125893
restoran,Öz Kilis Lahmacun ve Kebap,4225464289
restoran,Kebapçı Çetin Usta,4327986939
restoran,Mersin Tantuni,4330900705
restoran,Sohbet Aile Çay Bahçesi,4335689789
restoran,Köroğlu Pide,4349017704
restoran,Gala Kokoreç,4390418494
restoran,Gözleme Sarayı,4390606492
restoran,Hacıbeyim Kebap,4392514591
restoran,Kahta Çiğköfte,4392541689
restoran,Helvacızade,4430465092
restoran,Efendim Fasıl Rest.,4494301077
restoran,Develi Restaurant,4514250191
restoran,Domino Pizza,4545544999
restoran,Duru Balık,4545545046
restoran,Anıl Cafe Börek,4545562074
restoran,Kokoreçci Şükrü Usta,4545583420
restoran,Hacı Sayid Restaurant,4545596212
restoran,Aska Döner,4545597924
restoran,Urfalı Kebabçım,4545610830
restoran,Atmacalar Unlu Mamüller,4545633327
restoran,Tosunoğlu Kebab,4557132274
restoran,Bursa Kebab Evi,4557189677
