firma_id,is_kolu,firma_turu,satici_unvan,satici_kimlik,kaynak
0,restoran,yabanci_ortakli,Ateş Büfe,3747411246,osm
1,restoran,uzun_unvan,Matya Kömürde Balık,9035213568,osm
2,restoran,kisa_unvan,Keniya cafe,4420678833,osm
3,restoran,kisa_unvan,Hacıbey,1210032365,osm
4,restoran,kisa_unvan,Tank Burger,1994101378,osm
5,restoran,uzun_unvan,Doyuyo!,1510702969,osm
6,restoran,uzun_unvan,TıkaBasa,6706625327,osm
7,restoran,kisa_unvan,Beylerbeyi Köftecisi,7209993476,osm
8,restoran,kisa_unvan,Mola Garden,8701462638,osm
9,restoran,kisa_unvan,Pizza Hut,8380657876,osm
10,restoran,kisa_unvan,valide,9856420595,osm
11,restoran,kisa_unvan,Kumru,4078593210,osm
12,restoran,kisa_unvan,Köfteci Ziya Usta,3480396525,osm
13,restoran,kisa_unvan,Elif's Mantı,9559059924,osm
14,restoran,kisa_unvan,Mersin Yöre Evi,3784270104,osm
15,restoran,kisa_unvan,Karacalı Türk,3087059323,osm
16,restoran,kisa_unvan,Fornello Pizzeria,2500292181,osm
17,restoran,uzun_unvan,Liman Karaköy,1569154525,osm
18,restoran,yabanci_ortakli,BP Pide,6752895390,osm
19,restoran,uzun_unvan,Şar Restaurant,6442209697,osm
20,restoran,kisa_unvan,Debs ve Remman,9593917254,osm
21,restoran,uzun_unvan,Big Burger,3552157047,osm
22,restoran,kisa_unvan,Fatih Karadeniz Pidecisi,1541006767,osm
23,restoran,yabanci_ortakli,Tarihi Maltepe Çorbacısı,6765861797,osm
24,restoran,uzun_unvan,Acıbadem Kokoreç Hakan Büfe,3271040541,osm
25,restoran,yabanci_ortakli,Pınar gıda ve büfe,1526218156,osm
26,restoran,kisa_unvan,Cozy Garden Restaurant Cafe,9706296201,osm
27,restoran,kisa_unvan,Doğan Kardeşler Börek Salonu,3368844435,osm
28,restoran,kisa_unvan,Tamamen Organik Toast,6987205068,osm
29,restoran,kisa_unvan,Saki Pub,9731032415,osm
30,restoran,kisa_unvan,Furkan Pide,1467741860,osm
31,restoran,kisa_unvan,Nano Dürüm,6527047742,osm
32,restoran,kisa_unvan,Hayal Büfe,4902115863,osm
33,restoran,yabanci_ortakli,Çöp şiş,9380686872,osm
34,restoran,kisa_unvan,Draft Gastropub,3741608985,osm
35,restoran,uzun_unvan,Furkan Patso&Burger,9217223324,osm
36,restoran,kisa_unvan,TX Burger,1632945113,osm
37,restoran,kisa_unvan,Filizler Köftecisi,6854870993,osm
38,restoran,kisa_unvan,Balon Cafe,6162299917,osm
39,restoran,uzun_unvan,İBB Ümraniye Kent Lokantası,9148564670,osm
40,restoran,kisa_unvan,Hazal Pide Ve Börek Salonu,7024629966,osm
41,restoran,kisa_unvan,Kükrük,5307450547,osm
42,restoran,kisa_unvan,Tek Büfe,7132475462,osm
43,restoran,kisa_unvan,2 Lokma,1373678506,osm
44,restoran,kisa_unvan,İmren,2148628902,osm
45,restoran,kisa_unvan,Ferick Fried Chicken,3030705346,osm
46,restoran,kisa_unvan,Bedri Usta Çiftehavuzlar Pide & Lahmacun,7861035797,osm
47,restoran,kisa_unvan,Konak,7985524142,osm
48,restoran,kisa_unvan,Sebil lokantası,0293333467,osm
49,restoran,kisa_unvan,Avşar Cafe,0722903490,osm
50,restoran,uzun_unvan,Kumkapı Albatros,4466574370,osm
51,restoran,kisa_unvan,2K Chicken,8969108584,osm
52,restoran,uzun_unvan,Kaytas,9441715453,osm
53,restoran,uzun_unvan,Doğalhane,4432830963,osm
54,restoran,uzun_unvan,Balık Ekmek,2074466604,osm
55,restoran,kisa_unvan,Candanya Çiftlik Et Mangal,9353875847,osm
56,restoran,uzun_unvan,fitty feed - clean eating,8241724824,osm
57,restoran,yabanci_ortakli,Ozen,5135346556,osm
58,restoran,kisa_unvan,Yaman Dondurma,4717099917,osm
59,restoran,kisa_unvan,Fatih dekorasyon,3816846027,osm
60,restoran,kisa_unvan,Maharet Kebap Lahmacun,3569725210,osm
61,restoran,kisa_unvan,Kebabçı Mahmut,2500743295,osm
62,restoran,uzun_unvan,Köroğlu Et Lokantası,7129666678,osm
63,restoran,kisa_unvan,Çilingir Sofrası,0835058306,osm
64,restoran,uzun_unvan,Pidem Maltepe,3354216890,osm
65,restoran,kisa_unvan,Karadenia Ataşehir Trabzon Köy Kahvaltısı,1044789857,osm
66,restoran,kisa_unvan,Kral,2575326035,osm
67,restoran,kisa_unvan,Urfa Kebap,2309821508,osm
68,restoran,kisa_unvan,Med Cezir,4890901001,osm
69,restoran,uzun_unvan,Mesut Cafe,6761847238,osm
70,restoran,uzun_unvan,Kral çiğköfte,0461849925,osm
71,restoran,kisa_unvan,Beş Kardeşlar Kafeterya,1891411735,osm
