kategori,urun_adi,birim
konaklama,Otel Konaklama Bedeli,Gece
konaklama,Gecelik Konaklama Ücreti,Gece
konaklama,Misafirhane Ücreti,Gece
konaklama,Apart Kiralama,Gece
konaklama,Suit Oda Farkı,Gece
konaklama,Erken Giriş (Early Check-in) Ücreti,Adet
konaklama,Geç Çıkış (Late Check-out) Bedeli,Adet
konaklama,Oda & Kahvaltı Dahil Konaklama,Gece
konaklama,Tam Pansiyon Konaklama,Gece
konaklama,Yarım Pansiyon Konaklama,Gece
konaklama,Her Şey Dahil Konaklama,Gece
konaklama,Minibar Tüketimi,Adet
konaklama,Oda Servisi (Room Service),Adet
konaklama,Çamaşırhane/Ütü Hizmeti (Otel),Adet
konaklama,Spa ve Masaj Hizmeti (Otel),Adet
konaklama,Otel Toplantı Odası Kiralama,Saat
konaklama,Turistik Tesis Konaklama,Gece
konaklama,Günlük Ev Kiralama,Gece
konaklama,Pansiyon Konaklama,Gece
konaklama,Ek Yatak Ücreti,Adet
konaklama,Şehir Vergisi (City Tax),Gece
konaklama,Turizm Katkı Payı,Gece
konaklama,Rezervasyon İptal Bedeli,Adet
konaklama,Yurtdışı Çıkış Harcı,Adet
