urun_adi,csv_kategori,siklik,alt_tipler
EKMEK 250 GR,GIDA,9122,firin
DOMATES,MEYVE SEBZE,6018,manav
PATATES,MEYVE SEBZE,5718,manav
PORTAKAL,MEYVE SEBZE,5611,manav
TOZ SEKER,İÇECEK,5242,
SOGAN,MEYVE SEBZE,4631,manav
OSMANCIK PIRINC KG.,GIDA,4101,
LIMON,MEYVE SEBZE,4093,manav
MUZ,MEYVE SEBZE,3934,manav
KIVIRCIK,MEYVE SEBZE,3925,manav
MAYDANOZ,MEYVE SEBZE,3808,manav
HAVUC,MEYVE SEBZE,3632,manav
SİHİRLİ ELLER CİG KÖFTE 200GR,GIDA,3566,
F NEFFIS SÜT YARIM YAĞLI 1 LT,SÜT KAHVALTILIK,3253,
YERLI BADEM,MEYVE SEBZE,2900,manav
ULKER CIKOLATALI GOFRET 35GR,GIDA,2692,sekerci
YAHYAOGLU 15 LI YUMURTA,SÜT KAHVALTILIK,2588,
PORTAKAL SIKMALIK,MEYVE SEBZE,2561,manav
SALKIM DOMATES,MEYVE SEBZE,2471,manav
DANA KIYMALIK KG.,ET TAVUK,2419,kasap
ULKER 80GR BATON SUTLU 260-,GIDA,2345,
SIVRI BIBER,MEYVE SEBZE,2282,manav
CARLISTON,MEYVE SEBZE,2255,manav
NESCAFE 3 IN 1 ARADA 18 GR,İÇECEK,2196,
ERIKLI DOGAL MEMBA SU 500ML,İÇECEK,2192,
ORNEK GUNLUK YUFKA 5 ADET,GIDA,2174,
PILAVLIK BULGUR,GIDA,2130,
YESIL SOGAN,MEYVE SEBZE,2117,manav
PINAR SUT 1 LT.,SÜT KAHVALTILIK,2076,
LIMON FILE,MEYVE SEBZE,2053,manav
YERLI MUZ,MEYVE SEBZE,2049,manav
TMO OSMANCIK PIRINC 2 KG,GIDA,1986,
SALATALIK,MEYVE SEBZE,1942,manav
KIRMIZI MERCIMEK,GIDA,1859,
MEHMET EFENDI KAHVE 100 GR.,İÇECEK,1794,
PATLICAN,MEYVE SEBZE,1779,manav
FAVORIM TAM YAGLI EZINE PEYNIRI,SÜT KAHVALTILIK,1687,
SEK SUT 1 LT. SADE,SÜT KAHVALTILIK,1674,
SENPILIC,ET TAVUK,1669,kasap
BILLUR TUZ 750 GR.,GIDA,1655,
CERI DOMATES,MEYVE SEBZE,1613,manav
ELMA GOLDEN,MEYVE SEBZE,1606,manav
NOHUT BEYAZ,GIDA,1538,
DANA GULAS,ET TAVUK,1531,kasap
YAHYAOGLU 6 LI YUMURTA,SÜT KAHVALTILIK,1486,
KABAK,MEYVE SEBZE,1485,manav
SULTAN KEP.BUGDAY EKMEGI,GIDA,1435,
TEREM PAKET MARGARIN 250 GR.,SÜT KAHVALTILIK,1395,
ISPANAK KG,MEYVE SEBZE,1371,manav
WINSTON LIGHTS BOX,SİGARA,1363,
PINAR AC BITIR SALAM 75 GR,ET TAVUK,1349,kasap
F SAFF ISLAK MENDIL 80 AD,KAĞIT,1339,
MANDALINA,MEYVE SEBZE,1337,manav
L M KISA PAKET,SİGARA,1305,
AL GUNDUZ TRAKYA BEYAZ PEYNIR,SÜT KAHVALTILIK,1273,
KAY SU 5 LT,İÇECEK,1269,
YERLI BALDO PIRINC,GIDA,1248,
DERYA TAMYAGLI BEYAZ PEYNIR,SÜT KAHVALTILIK,1245,
"COCA COLA 2,5 LT. EKO BOY",İÇECEK,1235,bufe
F SAFF ISLAK MENDIL 63 AD,KAĞIT,1234,
YAHYAOGLU 30 LU BUYUK BOY YUMURTA,SÜT KAHVALTILIK,1215,
ELMA IRI,MEYVE SEBZE,1212,manav
ETI KARAM GURME 55 GR BITTER CIKOLATA,GIDA,1195,sekerci
BURDAN 6 LI YUMURTA,SÜT KAHVALTILIK,1178,
KOFTELIK BULGUR,GIDA,1174,
ULKER LAVIVA DOLGULU CIKOLATA,GIDA,1158,sekerci
SAKA SU 0.5LT,İÇECEK,1124,
YESIL MERCIMEK,GIDA,1122,
ELMA EKSI,MEYVE SEBZE,1115,manav
DERE OTU,MEYVE SEBZE,1106,manav
COCA COLA 1 LT. PET SISE,İÇECEK,1085,bufe
MANTAR PAKET,MEYVE SEBZE,1083,manav
KIRMIZI BIBER,MEYVE SEBZE,1066,manav
SENPILIC BONFILE,ET TAVUK,1062,kasap
ULKER CUBUK KRAKER 36 GR,GIDA,1036,bufe
PINAR AC BITIR MACAR SALAM 60 GR,ET TAVUK,1019,kasap
F SAFF 100 LÜ PECETE,KAĞIT,996,
"ERIKLI DOGAL MEMBA SU 1,5LT",İÇECEK,992,
ERIKLI DOGAL MEMBA SU 5 LT,İÇECEK,985,
BURDAN 30 LU BUYUK BOY KAPAKLI YUMURTA,SÜT KAHVALTILIK,948,
F SAFF WC 12 Lİ TUVALET KAGIDI,KAĞIT,941,
BIZIM MARGARIN 250 GR. PAKET,SÜT KAHVALTILIK,941,
PIRASA,MEYVE SEBZE,933,manav
HOROZ FASULYE,GIDA,933,
EDIRNE YARDIMCI TAM YAĞLI KLASIK İNEK PEY.,BEBEK,920,
WINSTON KISA BOX,SİGARA,917,
ULUDAG SODA 6LI,İÇECEK,898,bufe
"COCA COLA 1,5 LT. PET SISE",İÇECEK,887,bufe
PARLIAMENT KISA BOX,SİGARA,881,
MURATTI KISA BOX,SİGARA,857,
