kategori,urun_adi,alt_tipler
ana_yemekler_et,Dana Bonfile,
ana_yemekler_et,Dana Lokum,
ana_yemekler_et,Dana Şiş,
ana_yemekler_et,Dana Kaburga,
ana_yemekler_et,Kuzu Tandır,
ana_yemekler_et,Tandır Kebabı,
ana_yemekler_et,Tas Kebabı,
ana_yemekler_et,Hünkar Beğendi,
ana_yemekler_et,Orman Kebabı,
ana_yemekler_et,Etli Güveç,
ana_yemekler_et,Kiremitte Köfte,
ana_yemekler_et,İnegöl Köfte,
ana_yemekler_et,Tekirdağ Köfte,
ana_yemekler_et,Pideli Köfte,
ana_yemekler_et,Dalyan Köfte,
ana_yemekler_et,Kasap Köfte,
ana_yemekler_et,Çiftlik Köfte,
ana_yemekler_et,Dana Kavurma,
ana_yemekler_et,Fırın Kebabı,
ana_yemekler_et,Yoğurtlu Kebap,
ana_yemekler_et,Tepsi Kebabı,
ana_yemekler_et,Kağıt Kebabı,
ana_yemekler_et,Çoban Kavurma,
ana_yemekler_et,Dana Biftek,
ana_yemekler_et,Etli Pilav,
ana_yemekler_tavuk,Tavuk Pirzola,
ana_yemekler_tavuk,Tavuk Kanat,
ana_yemekler_tavuk,Tavuk Bonfile Izgara,
ana_yemekler_tavuk,Tavuk Külbastı,
ana_yemekler_tavuk,Tavuk Fajita,
ana_yemekler_tavuk,Tavuk Güveç,
ana_yemekler_tavuk,Tereyağlı Tavuk,
ana_yemekler_tavuk,Mantar Soslu Tavuk,
ana_yemekler_tavuk,Barbekü Soslu Tavuk,
ana_yemekler_tavuk,Acılı Tavuk,
ana_yemekler_tavuk,Tavuk Wrap,
ana_yemekler_tavuk,Tavuk Dürüm,
ana_yemekler_tavuk,Tavuk Tantuni,
ana_yemekler_tavuk,Piliç Izgara,
ana_yemekler_tavuk,Kremalı Tavuk,
doner_kebap,Döner Sandviç,donerci
doner_kebap,Lavaş Tavuk,donerci
doner_kebap,Lavaş Et,donerci
doner_kebap,Tantuni,tantunici
doner_kebap,Tavuk Tantuni,tantunici
doner_kebap,Et Tantuni,tantunici
doner_kebap,Et Döner Porsiyon,donerci
doner_kebap,Tavuk Döner Porsiyon,donerci
doner_kebap,Hatay soslu dürüm M,donerci
doner_kebap,Hatay soslu dürüm L,donerci
doner_kebap,Hatay soslu dürüm XL,donerci
doner_kebap,Porsiyon İskender,kebapci
doner_kebap,Adana Kebap,kebapci
doner_kebap,Urfa Kebap,kebapci
doner_kebap,Beyti Kebap,kebapci
doner_kebap,Ciğer Şiş,cigerci
doner_kebap,Kuzu Şiş,kebapci
doner_kebap,Patlıcan Kebabı,kebapci
pide_lahmacun,Kuşbaşı Kaşarlı Pide,pideci_lahmacunci
pide_lahmacun,Kavurmalı Pide,pideci_lahmacunci
pide_lahmacun,Pastırmalı Pide,pideci_lahmacunci
pide_lahmacun,Ispanaklı Pide,pideci_lahmacunci
pide_lahmacun,Karadeniz Pidesi,pideci_lahmacunci
pide_lahmacun,Kapalı Pide,pideci_lahmacunci
pide_lahmacun,Karışık Lahmacun,pideci_lahmacunci
pide_lahmacun,Kaşarlı Lahmacun,pideci_lahmacunci
pide_lahmacun,Peynirli Gözleme,pideci_lahmacunci
pide_lahmacun,Kıymalı Gözleme,pideci_lahmacunci
pide_lahmacun,Ispanaklı Gözleme,pideci_lahmacunci
pide_lahmacun,Kaşarlı Gözleme,pideci_lahmacunci
pide_lahmacun,Patatesli Gözleme,pideci_lahmacunci
pide_lahmacun,Sucuklu Gözleme,pideci_lahmacunci
pide_lahmacun,Lahmacun,pideci_lahmacunci
pide_lahmacun,Kıymalı Pide,pideci_lahmacunci
pide_lahmacun,Etli Ekmek,pideci_lahmacunci
pide_lahmacun,Peynirli Pide,pideci_lahmacunci
pide_lahmacun,Yumurtalı Pide,pideci_lahmacunci
pide_lahmacun,Kuşbaşılı Pide,pideci_lahmacunci
pizza,Margherita Pizza,pizzaci
pizza,Karışık Pizza,pizzaci
pizza,Pepperoni Pizza,pizzaci
pizza,Sebzeli Pizza,pizzaci
